tytul;powierzchnia;l_pokoi;pietro;rok_budowy;cena;miejsce;Ulica
NOWA CENA! - KAWALERKA Z OGRODEM NA BAŻANTOWEJ!;30.28;1;0;2015;338500;Gdańsk Morena;
Bastion Wałowa/2 pokojowe na 9 piętrze;44.44;2;9;2018;595000;Gdańsk Młyniska; Wałowa
Słoneczne mieszkanie 4 pokojowe 15 min od morza;82.0;4;2;1978;630000;Gdańsk Zaspa; Dywizjonu 303
WaterLane - Oferta Inwestycyjna!;52.0;2;3;2012;849000;Gdańsk Długie Ogrody; Szafarnia
Garden Gates - Apartament Na Sprzedaż!;50.7;3;3;2019;608400;Gdańsk Długie Ogrody; Długie Ogrody
Garden Gates - Apartament Na Sprzedaż!;41.3;2;3;2019;495599;Gdańsk Długie Ogrody; Długie Ogrody
Granica z Sopotem, SKM, 3 osobne pokoje, po remoncie, umeblowane;56.2;3;1;1974;585000;Gdańsk Żabianka; Aleja Grunwaldzka 609
2 pokoje z osobną kuchnią Wrzeszcz;50.68;2;2;1960;499000;Gdańsk Wrzeszcz; Sochaczewska
Sprzedam słoneczne, przestronne mieszkanie 51m2 - 2,5 km od plaży;51.0;2;2;2010;600000;Gdańsk Wrzeszcz; Hallera
Mieszkanie 2 pokojowe po remoncie Gdańsk Chełm ul.Nieborowska;35.0;2;2;2002;369000;Gdańsk Chełm; Nieborowska
Gdańsk, 2 pokoje, ul. Wałowa, Bastion Wałowa;44.0;2;10;2018;629000;Gdańsk Śródmieście; Wałowa
3 pokoje w centrum wrzeszcza;60.43;3;3;1966;460000;Gdańsk Wrzeszcz; Grunwaldzka
Bastion Wałowa- 46 m2 8 piętro, gotowe do wydania!;44.85;2;8;2018;599000;Gdańsk Młyniska; Wałowa
Mieszkanie z widokiem na Motławę!;47.1;2;3;NaN;470000;Gdańsk Długie Ogrody; Długie Ogrody
Klonowa 3 pok. po remoncie;60.0;3;4;1958;599000;Gdańsk Wrzeszcz; Klonowa
Kołobrzeska 53;45.0;2;4;1970;385000;Gdańsk Przymorze; Kołobrzeska
Tamka--0 wysoki;34.21;2;0;1965;289000;Gdańsk Stogi; Tamka
Zaspa kombatantów - Rewelacyjny rozkład. I piętro.;50.0;2;1;1979;420000;Gdańsk Zaspa; Kombatantów
3pokoje/Gdańsk Strzyża-Wrzeszcz/Perełka;67.0;3;1;1950;715000;Gdańsk Strzyża; grunwaldzka 230
Kamienica z windą - Serce Starego Miasta;92.0;3;4;NaN;999900;Gdańsk Śródmieście; Długi Targ
Trzypokojowe mieszkanie przy ul. Wajdeloty;64.0;3;3;NaN;579000;Gdańsk Wrzeszcz; Wajdeloty
2-pokojowe mieszkanie na Zielonym Południku od zaraz;36.5;2;2;2020;290000;Gdańsk Chełm; Kazimierza Wielkiego
3 pok. / ogród/ z meblami/ od zaraz/ WARTO!;65.1;3;0;2010;489000;Gdańsk Łostowice; Olimpijska
2/3 pokoje, od zaraz! Db. dojazd do uczelni UG, PG;62.0;2;1;1989;399000;Gdańsk Niedźwiednik; Góralska
Kawalerka w doskonałej lokalizacji;30.41;1;1;1975;349000;Gdańsk Oliwa; Karpacka
Mieszkanie inwestycja - 2 pokoje, po remoncie, super lokalizacja;38.0;2;7;1970;415000;Gdańsk Żabianka; Grunwaldzka 593
Kawalerka z dużym balkonem i osobną kuchnią;32.8;1;1;2001;279000;Gdańsk Ujeścisko; Ostrołęcka
Mieszkanie z ogródkiem, po remoncie kuchni i łazienki;60.3;3;0;1966;400000;Gdańsk Stogi; Ugory
Mieszkanie Gdańsk Śródmieście - 5 minut od Starówki;98.0;4;2;1905;699000;Gdańsk Śródmieście; Seredyńskiego
Mieszkanie w centrum Wrzeszcza - niski czynsz;92.0;3;1;1905;739900;Gdańsk Wrzeszcz; Wajdeloty
Wygodnie mieszkanie w Gdańsku;66.3;3;1;1950;490000;Gdańsk Młyniska; Okrąg
Gdańsk Zaspa, 2 pok, osobna kuchnia, do aranżacji;48.6;2;3;1980;394000;Gdańsk Zaspa; Żwirki I Wigury
2 pokoje z balkonem, 0 kiełpinek gdańsk;48.88;2;0;2003;419000;Gdańsk Kiełpinek; Sympatyczna
Bez prowizji! 2 miejsca parkingowe/winda;53.0;3;3;2016;519000;Gdańsk Morena; Myśliwska
Duże mieszkanie z balkonem w idealnej lokalizacji!;75.5;3;1;2008;770000;Gdańsk Zaspa; Stanisława Skarżyńskiego
Przytulne mieszkanie ze skosami, centrum wrzeszcza;80.0;2;3;1910;699000;Gdańsk Wrzeszcz; Antoniego Lendziona
Piękny apartament w kamienicy Gdańsk Wrzeszcz;65.6;3;1;1911;690000;Gdańsk Wrzeszcz; Politechniczna
Piękny widok na zatokę z centrum moreny !;53.0;3;9;2019;499000;Gdańsk Morena; Franciszka Rakoczego
Wrzeszcz/ 5 minut do plaży / widok na stocznie;53.0;3;5;NaN;445000;Gdańsk Wrzeszcz; Jana Ostroroga
Wykończone 2 poziomowe mieszkanie- 2016 rok;89.8;4;3;2016;700000;Gdańsk Szadółki; Potęgowska
Duże mieszkanie w centrum Gdańska - spacer vr;95.1;4;3;1910;739000;Gdańsk Długie Ogrody; Mariana Seredyńskiego
5 POKOI/karczemki/dwa poziomy/od zaraz;131.0;5;3;2002;589500;Gdańsk Karczemki; Storczykowa
Zajezdnia wrzeszcz/ 2 pokoje/ nowy apartament;38.5;2;4;2019;525000;Gdańsk Wrzeszcz; Grudziądzka
Dwupoziomowe mieszkanie z dwoma balkonami!;45.0;2;3;2000;359000;Gdańsk Ujeścisko; Piotrkowska
Atrakcyjne, małe 2 pokojowe mieszkanie na Zaspie!;36.9;2;0;NaN;409000;Gdańsk Zaspa; Pilotów
Mieszkanie - Gdańsk Wrzeszcz / Strzyża;98.4;4;3;NaN;613000;Gdańsk Wrzeszcz ;
Stylowo Wykończone 3-pokojowe Mieszkanie, Morena os. Foresta.;67.27;3;1;2020;674500;Gdańsk Morena; Myśliwska 44
Twoje mieszkanie w centrum wrzeszcza;32.7;1;3;2008;387000;Gdańsk Wrzeszcz; Partyzantów
NOWA NIŻSZA CENA! 2 pokoje w sercu Przymorza!;43.0;2;3;1970;379000;Gdańsk Przymorze; Kołobrzeska
3 POKOJOWY APARTAMENT Z PIĘKNYM WIDOKIEM!;76.0;3;2;2007;721000;Gdańsk Morena; Wołkowyska
3 pok. mieszkanie po remoncie, wyposażone Chełm;54.0;3;2;2006;529000;Gdańsk Chełm; Wawelska
Nowe wyposażone mieszkanie w sercu Zaspy;51.0;3;3;1980;535000;Gdańsk Zaspa; Startowa
Dwa mieszkania w cenie jednego - Gdańsk, Wrzeszcz;86.22;3;1;1930;629000;Gdańsk Wrzeszcz; Gen. Józefa Hallera
Komfortowe trzy pokoje - Gdańsk, Niedźwiednik;61.0;3;0;1986;499900;Gdańsk Niedźwiednik; Leśna Góra
Komfortowe, 3 pokojowe Gdańsk - Borkowo;70.0;3;1;2012;499900;Gdańsk Łostowice; Żeglarska
Kawalerka prywatnie z pełnym wyposażeniem w cenie;36.0;1;2;2000;298000;Gdańsk Ujeścisko;
Kamienica warszawska 90m2 z garażem w cenie;89.0;3;1;2020;699000;Gdańsk Ujeścisko; 51 c
Kamienica warszawska 90m2 z garażem w cenie;89.0;3;1;2020;699000;Gdańsk Ujeścisko; 51 c
Kamienica Warszawska z garażem i ogródkiem w cenie;48.0;1;0;2020;428000;Gdańsk Ujeścisko; Warszawska 51 c
Dwupokojowe mieszkanie w wysokim standardzie!;40.0;2;0;2017;580000;Gdańsk Przymorze; Krynicka
Idealne dla rodziny lub inwestycje!;82.7;4;1;2004;690000;Gdańsk Zaspa; Jana Pawła Ii
140 mkw., 5 pokoi, Osiedle zamknięte, Duży garaż;125.2;5;2;2004;850000;Gdańsk Osowa; Koziorożca
Mieszkanie 4-pok na Jasieniu;98.0;4;4;1996;500000;Gdańsk Jasień; Stolema
Mieszkanie 3-pok z halą garażową;55.54;3;2;2010;475000;Gdańsk Chełm; Zamiejska
Wzgórze Focha piękne rodzinne mieszkanie;57.22;3;2;NaN;690000;Gdańsk Aniołki; Marsz. Ferdynanda Focha
2 pok. z ogrodem| dla studenta,pary| Centrum;42.0;2;0;2018;575000;Gdańsk Długie Ogrody; Św. Barbary
2 Pokojowe/ Przymorze/ Po kapitalnym remoncie !!;37.0;2;0;1975;425000;Gdańsk Przymorze; Rzeczypospolitej
Bezpośrednio: Morena, ładne mieszkanie z miejscem parkingowym;48.0;2;3;2008;465000;Gdańsk Morena; Morenowe Wzgórze
CENTRUM MIASTA / 3 POKOJE / WYSOKI STANDARD;50.3;3;2;1950;599000;Gdańsk Śródmieście; Łagiewniki
CENTRUM GDAŃSKA / OGRÓD / 2 MIEJSCA PARKINGOWE;44.9;3;0;1905;629000;Gdańsk Biskupia Górka; Biskupia
WYSOKI STANDARD / SERCE GDAŃSKA / TARAS;67.0;3;4;2012;1220000;Gdańsk Długie Ogrody; Szafarnia
Stylowy apartament w rezydencji wintera;107.0;3;5;2019;1560000;Gdańsk Stare Przedmieście; Kotwiczników
KAWALERKA Z DUŻYM BALKONEM NA OSOWEJ;34.0;1;1;2013;310000;Gdańsk Osowa; Nike
Gustowna kawalerka na śródmieściu;31.080;1;0;2018;519000;Gdańsk Śródmieście; Panieńska
2 niezależne pokoje / gdańsk śródmieście;40.6;2;5;1970;420000;Gdańsk Długie Ogrody; Długie Ogrody
2 NIEZALEŻNE POKOJE / ŚRÓDMIEŚCIE;40.6;2;5;1970;415000;Gdańsk Długie Ogrody; Długie Ogrody
3 pokoje/ zakoniczyn/ szybkie wydanie;49.55;3;0;2004;370000;Gdańsk Zakoniczyn; Kazimierza Porębskiego
APARTAMENT NA SZAFARNI;70.0;2;4;2013;889000;Gdańsk Długie Ogrody; Szafarnia
ŚRÓDMIEŚCIE / 2 POKOJE/ WIDOK NA MOTŁAWĘ;40.0;2;3;2017;650000;Gdańsk Stare Przedmieście; Jaglana
PRZYMORZE/ KAWALERKA/ PO REMONCIE/ BLISKO SKM;27.0;1;3;NaN;335000;Gdańsk Przymorze; Słupska
2 POKOJE / WIDOK NA MOTŁAWĘ / ŚRÓDMIEŚCIE;40.0;2;4;2017;650000;Gdańsk Stare Przedmieście; Jaglana
3 POKOJE/ ŚRÓDMIEŚCIE/ WIDOK NA MOTŁAWĘ/ OD ZARAZ;56.6;3;5;2013;790000;Gdańsk Stare Przedmieście; Toruńska
2 pokoje/wiszące ogrody/3 min do obwodnicy;53.9;2;2;2010;469000;Gdańsk Kiełpinek; Przytulna
Kawalerka/ od zaraz/ 3 km do starówki;17.0;1;0;NaN;199000;Gdańsk Orunia Dolna; Perłowa
Apartament trzy żagle/ przymorze/ 2 pokoje;44.0;2;12;2012;625000;Gdańsk Przymorze; Olsztyńska
2 pokoje na 0ze z balkonem! przymorze;46.0;2;0;1970;399000;Gdańsk Przymorze; Obrońców Wybrzeża
Idealne dla rodziny, gotowe do zamieszkania!;64.35;3;1;2001;498000;Gdańsk Osowa; Kielnieńska
Wyjątkowe Mieszkanie na Morenie !!;36.78;2;9;1970;339000;Gdańsk Morena; Heleny Marusarzówny
Apartament na ostatnim piętrze z widokiem na zatokę w Gdańsku !!!;80.0;4;12;2019;1800000;Gdańsk Brzeźno; Hallera
Kawalerka w super lokalizacji - Przymorze, 5 min do SKM;23.050;1;2;1970;279000;Gdańsk Przymorze; Kołobrzeska
Mieszkanie nad morzem / 66 m2 / Tre Mare;66.0;3;2;2017;1450000;Gdańsk Jelitkowo; Jelitkowska
- Okazyjna cena - dwa pokoje -;46.5;2;4;1970;225000;Gdańsk Rudniki; Rzęsna
Nowe, stylowe mieszkanie. Rezydencja Wintera;42.83;2;2;2019;800000;Gdańsk ;Kotwiczników 12
2 pokoje z dużym balkonem, Zakoniczyn;48.42;2;1;2009;385000;Gdańsk Zakoniczyn; Jaworzniaków
3 pokojowe mieszkanie + piękny widok, Chełm 60.6m2;60.6;3;4;1988;484799;Gdańsk Chełm; Władysława Cieszyńskiego
3 POKOJE Z BALKONEM NA LAWENDOWYM WZGÓRZU!;62.94;3;4;2013;564000;Gdańsk Szadółki; Jabłoniowa
2 APARTAMENTY / CENTRUM GDAŃSKA / 2 OGRODY;59.05;2;0;2018;837000;Gdańsk Długie Ogrody; Św. Barbary
77m2 TARAS / PIĘKNY WIDOK / W SERCU GDAŃSKA;87.56;4;5;2019;1230000;Gdańsk Długie Ogrody; Długa Grobla
Siedlce/ 2pokoje/ blisko tramwaj/;52.29;2;0;NaN;424000;Gdańsk Siedlce; Zakopiańska
GDAŃSK PRZYMORZE/ 2 POKOJE/ 7MIN DO PLAŻY;46.0;2;5;NaN;399000;Gdańsk Przymorze; Obrońców Wybrzeża
3 pokoje/ idealny pod inwestycje/ 8min do plaży;51.85;3;2;1970;599000;Gdańsk Żabianka; Gospody
3 pokoje/ gdańsk żabianka/ 8min do plaży;56.36;3;0;NaN;525000;Gdańsk Żabianka; Szyprów
3 pokoje/ nowe budownictwo/ 20min do plaży;51.3;3;11;NaN;699000;Gdańsk Przymorze; Obrońców Wybrzeża
2 pokoje/  47 M2/ gdańsk jasień/;47.2;2;3;NaN;470000;Gdańsk Jasień; Jabłoniowa
Dwa pokoje / gdańsk wrzeszcz/ pod gabinet medyczny;52.0;2;0;1900;610000;Gdańsk Aniołki; Józefa Hoene-Wrońskiego
Gdańsk oliwa/ szybkie wydanie/ 43 M2/;42.5;2;1;NaN;440000;Gdańsk Oliwa; Artura Grottgera
2 pokoje/ przymorze/ niski blok/ balkon;38.0;2;3;1970;399000;Gdańsk Przymorze; Kołobrzeska
3 pokoje możliwość przerobienia na 4 morena 74m2!!;74.0;3;2;1992;517000;Gdańsk Morena; Bulońska
Sprzedam mieszkanie;44.0;2;17;2018;645000;Gdańsk Śródmieście; Wałowa
Nowa oferta. Mieszkanie 3 pokojowe + Garaż. Jasień;62.3;3;1;2017;529000;Gdańsk Rębowo; Kazimierza Leskiego
Wrzeszcz/2 pok/41m?/loggia/piwnica/do remontu;41.0;2;1;1970;349000;Gdańsk Wrzeszcz; Grunwaldzka
Apartament 58 m2 blisko morza - Dostępne od zaraz;58.0;3;1;2019;645000;Gdańsk Wrzeszcz; Grudziądzka
Wrzeszcz/ 2 pokoje/ po generalnym remoncie;40.3;2;1;1945;430000;Gdańsk Wrzeszcz; Grunwaldzka
Prawdziwa gratka dla miłośników kamienic;124.0;4;1;1904;990000;Gdańsk Wrzeszcz; Ludwika Waryńskiego
Osobna kuchnia, taras i duży ogród!;71.0;4;0;1992;599000;Gdańsk Ujeścisko; Ciechanowska
2 pokoje/ nowy port/ po remoncie/dostępne od zaraz;52.1;2;3;NaN;349000;Gdańsk Nowy Port; Wyzwolenia
Trzy pokoje / gdańsk wrzeszcz / garnizon;78.84;3;4;2017;1049000;Gdańsk Wrzeszcz; Cypriana Kamila Norwida
2 pokoje/cicha i spokojna okolica/od zaraz;51.17;2;3;2008;450000;Gdańsk Chełm; Prof. Stanisława Szpora
Kawalerka/ wrzeszcz/ idealne pod inwestycję;32.7;1;3;2008;387000;Gdańsk Wrzeszcz; Partyzantów
Piękne 2 pokoje w Alfa Parku tuż przy lesie;53.78;2;2;2015;565000;Gdańsk Morena; Myśliwska
Mieszkanie Gdańsk   52.26 m2;52.26;3;2;NaN;320000;Gdańsk;
Apartament w sercu Starówki, 2 pokoje;58.3;2;5;NaN;799000;Gdańsk Stare Przedmieście; Toruńska
0, Dwa pokoje, Osobna Kuchnia, Od zaraz;50.4;2;0;1962;449000;Gdańsk Siedlce; Zakopiańska
3 pokojowe mieszkanie w zadbanej kamienicy Gdańsk Wrzeszcz | Zobacz >;68.69;3;2;1940;499000;Gdańsk Wrzeszcz; Zbyszka z Bogdańca
Słoneczne dwa pokoje z balkonem - Robyg;42.18;2;4;2016;515000;Gdańsk Morena; Stanisława Lema
Mieszkanie Gdańsk niedźwiednik ul.Mazowiecka;62.68;3;1;1978;525000;Gdańsk Niedźwiednik; Mazowiecka
Mieszkanie Gdańsk Zaspa ul.żwirki i wigury(2 pok.);48.2;2;4;1978;448000;Gdańsk Zaspa; Żwirki I Wigury
Mieszkanie Gdańsk Morena ul.Królewskie Wzgórze;55.59;NaN;2;2008;530000;Gdańsk Morena; Królewskie Wzgórze
Mieszkanie 3 pokojowe w atrakcyjnej lokalizacji!;70.0;3;4;NaN;485000;Gdańsk Morena; Romana Wyrobka
Zaspa Rozstaje niska zabudowa idealna lokalizacja;47.7;2;3;1976;459000;Gdańsk Zaspa; Drzewieckiego
I piętro w kamienicy - Wrzeszcz - po remoncie;56.7;3;1;1930;479000;Gdańsk Wrzeszcz; Jesionowa
Sprzedam mieszkanie dwupokojowe w Oliwie.Grottgera.;42.5;2;1;1974;440000;Gdańsk Oliwa; Grottgera
ZASPA\ 3 NIEZALEŻNE POKOJE\ BLISKO MORZA;60.0;3;2;1980;474999;Gdańsk Zaspa; Leszczyńskich
WRZESZCZ/ 4 POKOJE/ 2,5 km DO PLAŻY;83.2;4;1;1930;669000;Gdańsk Wrzeszcz; Tadeusza Kościuszki
Unikatowa kamienica/ centrum wrzeszcza/ 3 pokoje;62.0;3;3;1910;450000;Gdańsk Wrzeszcz; Marii Konopnickiej
UJEŚCISKO/ WYSOKI STANDARD;58.58;2;0;2011;475000;Gdańsk Ujeścisko; Mariana Kołodzieja
JASIEŃ/ MOŻLIWOŚĆ ZROBIENIA DWÓCH POKOI;31.0;1;3;2019;310000;Gdańsk Szadółki; Lawendowe Wzgórze
5 min do starówki/ 3 pokoje/ przeróbka;53.12;3;1;NaN;369000;Gdańsk Przeróbka; Teofila Lenartowicza
3 pokoje we Wrzeszczu, blisko SKM!;52.4;3;5;1964;459000;Gdańsk Młyniska; Marynarki Polskiej
3 pokoje żabianka Subisława - Blisko plaży. 5 min;56.1;3;1;1977;497000;Gdańsk Żabianka; Subisława
Bezpośrednio, nowe 120 m z widokiem na morze, 2 miejsca garażowe;119.9;6;16;2021;1800000;Gdańsk Letnica; Starowiejska 63
3 pokojowe mieszkanie w rozchwytywanej lokalizacji;50.0;3;4;1964;449000;Gdańsk Przymorze; Śląska
2 pokoje w świetnej lokalizacji Gdańska.;41.6;2;1;1970;360000;Gdańsk Młyniska; Marynarki Polskiej
Gdańsk Przymorze 38m2 - 2 pokoje!;38.0;2;6;1978;320000;Gdańsk Przymorze; Kołobrzeska
2w1 apartamenty na wynajem dla 8 osób|Śródmieście;85.1;3;4;2018;1049000;Gdańsk Długie Ogrody; Długa Grobla
Mieszkanie - Gdańsk Przymorze;52.4;3;3;2003;794900;Gdańsk Przymorze; Jelitkowski Dwór
Mieszkanie w otulinie lasu - nowe - Morena;48.0;3;1;2020;489000;Gdańsk Morena; Myśliwska
Apartament blisko morza - Dostępne od zaraz;67.0;3;1;2019;779000;Gdańsk Wrzeszcz; Gen. Józefa Hallera
Apartament w Mili Baltice - Blisko morza;63.0;3;2;2017;799000;Gdańsk Wrzeszcz; Bolesława Chrobrego
Słoneczne, narożne mieszkanie, tramwaj 3min.;58.0;3;2;2019;579000;Gdańsk Jasień; Eugeniusza Węgrzyna
Zamieszkaj nad Stawem - Tramwaj 4 min - Taras 15m;26.0;1;2;NaN;269000;Gdańsk Jasień;
Kawalerka z osobną kuchnią można zrobić dwa pokoje;25.36;1;4;1975;289900;Gdańsk Brzeźno; PCK 6
Słoneczne, garaż, idealne jako biuro FILM360;63.0;3;0;2000;495000;Gdańsk Orunia Górna; Gen. Augusta Emila Fieldorfa
Mieszkanie 104 m2 Gdańsk z ogromnym tarasem;104.0;3;3;2000;699000;Gdańsk Ujeścisko;
Apartament na Szafarni w Gdańsku;67.0;3;4;2010;1188000;Gdańsk Długie Ogrody; Szafarnia
Dwupokojowe mieszkanie w centrum Wrzeszcza;44.88;2;1;1929;400000;Gdańsk Wrzeszcz; Konrada Wallenroda
2 niezależne pokoje w bloku 4piętrowym 500m do SKM;43.2;2;0;1970;389000;Gdańsk Przymorze; Kołobrzeska
Okazja! Idealne dla rodziny 3 pokoje - Pięć Wzgórz;57.7;3;1;NaN;449000;Gdańsk Zakoniczyn; Kazimierza Porębskiego
Kawalerka w 4 Oceanach z 2 miejsc. naziemnymiPILNE;30.060;1;3;2015;399000;Gdańsk Przymorze; Obrońców Wybrzeża
4 kawalerki gdańsk śródmieście;57.14;4;3;1894;455000;Gdańsk Długie Ogrody; Mariana Seredyńskiego
Ostoja Myśliwska - 2 pokoje;46.5;2;3;2012;480000;Gdańsk Morena; Myśliwska 33c
Mieszkanie z dużym tarasem i widokiem/MORZE/HEL;32.63;2;1;2019;449000;Gdańsk Brzeźno; Gen. Józefa Hallera
Komfortowe, czteropokojowe z dwoma ogrodami.;65.0;4;0;2009;699000;Gdańsk Piecki-Migowo;
4 pokoje / Morena / dwa balkony z widokiem;64.0;4;3;1978;575000;Gdańsk Morena; Józefa Żylewicza
Mieszkanie - Gdańsk Letnica, 790 000 zł;80.0;4;0;2019;790000;Gdańsk Letnica; Starowiejska
Hit cenowy !!! 4 Pokoje Gdańsk - Wrzeszcz;74.3;4;1;1930;519990;Gdańsk Wrzeszcz; Gen. Józefa Hallera
3 Pokoje/Gdańsk Wrzeszcz/Piwnica ok.10m2;40.2;3;1;1960;439000;Gdańsk Wrzeszcz; Tadeusza Kościuszki
3 Pokoje/Balkon/Wysoki Standard;68.0;3;3;2010;499000;Gdańsk Św. Wojciech; Starogardzka
2 Pokoje / Balkon / 2019 rok budowy;38.97;2;5;2019;385000;Gdańsk Szadółki; Lawendowe Wzgórze
Mieszkanie w odnowionej kamienicy w sercu Gdańska;68.2;3;2;NaN;720000;Gdańsk Śródmieście; Sukiennicza
4 pokoje 66,7m przy SKM Żabianka, 2km od morza!;66.7;4;8;NaN;578000;Gdańsk Żabianka; Subisława
Słoneczne 3 pokoje+pracownia Gdańsk Chełm 78,3m2;78.3;4;0;NaN;598000;Gdańsk Chełm; Reformacka
APARTAMENT Z 5 OKNAMI NA MOTŁAWĘ/ GDAŃSKA STARÓWKA;86.59;4;2;1974;1240000;Gdańsk Śródmieście; Powroźnicza
WRZESZCZ/ APARTAMENT/ WIDOK NA PANORAMĘ MIASTA;84.6;3;12;2013;1100000;Gdańsk Wrzeszcz; Partyzantów
Jasień/ TARAS 48m2/ dwa poziomy/ HALA;84.9;3;3;2014;590000;Gdańsk Szadółki; Potęgowska
2 pokoje/ ujeścisko/ osobna kuchnia/ OGRÓD 54m2;53.25;2;0;2012;450000;Gdańsk Ujeścisko; Przemyska
2 pokoje/ ujeścisko/ osobna kuchnia/ OGRÓD 54m2;53.25;2;0;2012;450000;Gdańsk Ujeścisko; Przemyska
Os. AVIATOR/ 4 POKOJE/ HALA GARAŻOWA/ OD ZARAZ;83.34;4;6;2015;1100000;Gdańsk Zaspa; Jana Pawła Ii
Apartament 2 pokoje / toruńska / widok na motławę;36.8;2;1;2020;513300;Gdańsk Stare Przedmieście; Toruńska
Mieszkanie 4 pok z hala garażową;61.6;3;0;2015;575000;Gdańsk Jasień; Myśliwskie Wzgórze
Wygodne mieszkanie z miejscem postojowym;47.2;2;4;2006;380000;Gdańsk Ujeścisko; Łańcucka
Apartament z widokiem na Motławę!;93.9;3;3;2008;1690000;Gdańsk Długie Ogrody; Szafarnia
Atrakcyjne 4 pokoje  na Chełmie;71.32;4;3;2004;689000;Gdańsk Chełm; Stanisława Hebanowskiego
Mieszkanie z widokiem na morze 62 m2, Suchanino;62.7;3;6;2008;549000;Gdańsk Suchanino; Zygmunta Noskowskiego
Mieszkanie - Gdańsk Żabianka;54.0;3;2;1979;485000;Gdańsk Żabianka; Szyprów
Mieszkanie 3 pokoje, Gdańsk-Chełm;63.4;3;4;1980;470000;Gdańsk Chełm; Chałubińskiego
